id	document	label
1	언니 동생으로 부르는게 맞는 일인가요..??	1
2	그냥 내 느낌일뿐겠지?	1
3	아직너무초기라서 그런거죠?	1
4	유치원버스 사고 낫다던데	1
5	근데 원래이런거맞나요	1
6	 남자친구가 떠날까봐요	1
7	이거 했는데 허리가 아플수도 있나요? ;;	1
8	내가불안해서꾸는걸까..	1
9	 일주일도 안 남았당...ㅠㅠ	1
10	약은 최대한 안먹으려고 하는데좋은 음시있나요?0	1
11	 구직활동 하면서 남는시간은 뭘로 활용해야 되지..	1
12	괜찮은분 같아서 괜히 조급해지네요 ㅜ	1
13	 제가 스타일을 바꾸면 더 어색하게만 변할것같아서 ㅠ0	1
14	아내 있으면 여자 있는 술집가면 법 적으로 문제있나요?	1
15	 한소리들을지.... 도와주세요	1
16	도와주실분 없나요..	1
17	그냥 잡다한거말고학업에 관련된거 듣는게 더 좋은가요?	1
18	 가격은 반값....이거 질이 다른건가요??	1
19	마지막에 말씀 드렸던대로 글은 이제 내릴게요의도치않게 실시간베스트글에 올라가서 남친이 볼거 같아서요 ㅠㅠ	1
20	"화장품회사다보니, 젊은 여자들이 많은거 같은데 걱정이네요.."	1
21	 몸무게 1키로찌는건 아니겠죠?	1
22	o자 다리 많이 심한가요?	1
23	 안하는게 나을까요??	1
24	그정도로 더러운가요.........	1
25	 보통 가진통도 이렇게 오래가나요?	1
26	여자가 술취해서 먼저 전화하는거 짜증나요???	1
27	걱정이 큽니다	1
28	이거 무슨 증상이죠??ㅜㅜ	1
29	 다름 아니라 제동생 걱정 입니다	1
30	아무래도 무리겠죠?	1
31	애인으로써 정말 걱정됩니다	1
32	이러다 일주일전에 나오는거 아닌가몰라요	1
33	경고먹을까 고민0	1
34	극도로 예민하고 불안한 상태에요	1
35	 못받으면 어떡하죠	1
36	 안검하수도어울릴까요?	1
37	근데 그게 사마귀 일수 있데요.	1
38	이제 곧 내년이면 22살인 여대생입니다...요즘 고민이 있는데요...	1
39	 안하는게 좋은가요?	1
40	자제할수있는 방법 뭐 없을까요??	1
41	집에와서 또 운동하긴했는데지난 3주의 노력이 물거품이 될까봐정말 걱정되요	1
42	옳은 선택인지 모르겠음	1
43	8월이면 둘째가 태어나서 마음이 더 조급한것같아요 ㅠㅠ	1
44	엄마한테는 친구랑 보러간다하는데 안들키겠지??	1
45	내가 구글 폰 계정에 동기화를 안한거 같은데 어쩌죠 ///	1
46	 아니면 더 빼야하나요?	1
47	물을안먹어서그러나?..	1
48	 찾아가는게나을까요?	1
49	제가 너무 깊이 들어가는건가요?	1
50	알수있는방법없음?	1
51	어디다가 짱박으면 좋을까요?	1
52	첫날안가서 왠지 아싸리 아싸가 될꺼같은 기분...	1
53	딱 1주일뒤에 군대에 들어가게되는데..	1
54	 방법이 없을까요?	1
55	할지말지 고민이네요.	1
56	검색해보니까 행동발달장애를 가져올수 있다는데...	1
57	이게맞는방법인가요?	1
58	아~ 정말 어떻게 해야되죠..1	1
59	 혼자 웃다가 울다가 조울증인가싶기두해여..	1
60	 월욜날연락주신댔는데지금불안해서미치겠어요ㅜㅜ	1
61	왠지 오늘은 15분늦게올꺼같은디.	1
62	사진 많이크나요..?	1
63	이거 안좋은거 아니예요?	1
64	나오늘 전달받은거없는데 퇴근시간20분넘고불안하다..	1
65	 근육이 붙진 않겠죠?ㅠ	1
66	방법을 잘 모르겠네요...	1
67	 너무많이하는거죠?	1
68	뭘해야할지 모르겠네요	1
69	어깨때문인가	1
70	걱정되서 잠이안와요!!	1
71	 예정일이 보름이나 지나도 생리를 안해요	1
72	시험5이 남았는데 과목 한개도 못 끝냈네	1
73	앞으로 이 남자가 제 편이 되어줄지도 의문이네요	1
74	저떨어진건가요..?	1
75	저 이제 어떡하죠	1
76	어휴...어떻게 처리하죠?0	1
77	지금 20대 초반인데 혹시 재발확률 있는지...	1
78	"미래에 30대,40대는 어떻게 해야햐나 싶기도 하고 그렇네요."	1
79	 어떻게 되는지 걱정되서 그러는데 답좀 부탁드리겠습니다.	1
80	투잡을 해야하나...	1
81	믿을만한건지요 ?	1
82	애기는 잘있나?	1
83	 그냥 화가나서 연락을 안하는걸까요...?	1
84	보증금 300도 있을까말까입니다.	1
85	여자친구가 오빠가 2명다 오신다는데긴장되네요	1
86	어른들은 변을 보시더니 아이가 분유를 소화를 못시키는거라구 하시네여...	1
87	"지금 핫팩을 좀 보내주고 싶은데, 괜히 눈치 보이지 않을까요?"	1
88	 이거 성격장애아닌가요? ?	1
89	 종아리 두꺼워지려나ㅠ	1
90	어떻게할방법이없을까요?	1
91	 막 매출이 막 떨어질 것 같음.	1
92	출산 경험 있으신분들 좀 알려주세요 ㅠ	1
93	 정적 흐를땐 어떻게 하시나요	1
94	내가 잘 말한걸까?	1
95	안올것같기도하고...주위에서 세상에 남자는많다라고하는데..제몸하나 쓰담어주는남자는 다신 안나타날것같은?불안하고 하네요~	1
96	제가 알바 자체가 처음이라..	1
97	저녁 늦게 천둥이 치는데 방이 흔들리는 것을 느꼈어요	1
98	 많이 걱정돼요ㅠㅠㅠㅠ	1
99	애들 진짜 못키우는데...	1
100	모기매트는 안전한가요? 옥시때문에 의심이 늘어서	1
101	노트7 쓰고 있는 사람들은 우짜노...나도 쓰는데 불안불안..	1
102	점점 추워진다는게 걱정이네	1
103	중국에서 한반도로 독가스를 자꾸 보내고 있는데 이러다가 멸망하는 것은 아닐까? 싶다	1
104	이제 앞으로 더 이러한 현상들이 심해질걸요?	1
105	이슬람계는 절대 절대 받지 말아야..	1
106	어떻게 키우면 집고양이가 길고양이랑 새끼를낳아?	1
107	골키퍼가 젤 불안!!	1
108	이러다가 다른나라에서 명예 회복 해달라고 국제 소송 거는거 아닌가? ..	1
109	저렇게 맨손으로 만져도 되나?	1
110	사진.. 사냥개도 있네.. 저러다 늑대개로 돌변하면 우짤라꼬..	1
111	허걱 배달되는 오븐스파게티 거의다 저 용기던데...	1
112	특히 이분야는 선점효과가 너무큼 실패할가능성이 높다	1
113	에프엑스도 요즘불안한데....	1
114	이성우 때문에 지겠다	1
115	아 4차원 롤러코스트 진짜 무섭겠다	1
116	대신에 기형아의 가능성이 엄청 높아진다. .	1
117	우리의미래가걱정된다	1
118	진짜떨린다	1
119	순순히 바꿔준다니 몬가 찝찝하기도하네	1
120	미국 시민들 불안해서 어떻게 살아...ㄷㄷ	1
121	여긴 창원마산. 강풍이 심해서 어떻게될지 걱정이다..	1
122	필리핀 가려면 죽을 각오해야 하네요	1
123	눈알 파갈라 ㅎㄷㄷㄷㄷㄷ	1
124	선발진은 여전히 불안불안하네...	1
125	"저 스모그가 우리나라로 넘어오는게 문제인거지,,ㅠ,,"	1
126	폭발물 소지금지 해야지!	1
127	갤노트 7 = 폭탄 ???	1
128	고속충전하면 너무 뜨거워 뭔일 날줄알았다	1
129	노트7가지고 타면 테러범으로 몰리는건가???	1
130	문제 있는거 아니냐??	1
131	 시리아랑 비기는거보고 불안함 ㅠㅠㅠㅠ	1
132	생초보라 걱정입니다.	1
133	 준비 시간이 줄어들어 졸작이 되진 않을까요?	1
134	갑자기 불안하네요	1
135	 진심 불날까봐 걱정되서 그런다.	1
136	용인 경전철 꼴나는거 아닌지요	1
137	 만약에 하나라도 지구가 시간변화에 따라 기후가 변하는 거면 어떡할것인가?	1
138	거리에 다니면서 할 확률 100%이상..위험하다..	1
139	삼성의 앞날이 걱정이다.	1
140	또한번 imf사태가 올것같아	1
141	 시리아 수비도 못뚫는데 월드컵에서 잘할수있을까...	1
142	 태풍오면 울산처럼된다.	1
143	기계가 사람을 지배하는날이 얼마 안남았다.	1
144	외계인이 있는데 괜찮을까	1
145	 우리와이프가 저리 살아보구 싶다 할까봐요	1
146	 누가사는데 만에 하나 구글이 소프트웨어 지원 끊으면 ???	1
147	저차 위험하다...	1
148	저 도로 범죄 일어나기 좋을듯.	1
149	혹시 설날 서빙 할때 손님 많이 올까염???	1
150	 나이만 먹어가고 이러다 결혼 못하고 죽는거 아닌지 ㅋㅋ	1
151	근데 여자친구가 너무걱정되네요..	1
152	제가 못해도 중상위권을 맴도는데성적이 자꾸 떨어져서..	1
153	그날에 해도 되나요?	1
154	유지할수있을까요	1
155	한번 먹일거만 조금남아있는데 어떡하죠	1
156	 남자친구는 공기업다니고 28살이고 저는 항상 불안해요	1
157	엄마아빠가 이해해주실까요?	1
158	저 일할곳이 세븐 본점인데 좀 큰데 많이 어려울까요ㅠㅠ?	1
159	수강 신청 하는거 많이 힘들까요?	1
160	 이해를 해줘야되는데 너무 불안해요..	1
161	 평소 관리만 잘 하면 나아질수 있는건지..	1
162	좀 텃세나 끼리끼리노는거있나요?	1
163	 제가 언제까지 이일을 하면될까요...	1
164	기다리고 노력하면 저만 상처 받겠죠??	1
165	내꾸나휴가 다놀고 전화가안와요..	1
166	V3엔진이라 불안해서리..	1
167	 감기오래가면 안좋은경우인가요???	1
168	최저임금도 안주면 어케해야되죠?	1
169	 이거 더 안좋아지는 증상인가요	1
170	 뭐 대처법은 없을까요?부탁이에요	1
171	내사진으로 프사를 해놨는데바람같은거 안피겠죠?? ㅠㅠ	1
172	남친이 중간에 뺐을까봐 좀 걱정이 되네요........	1
173	막 차별하고 그러나요?	1
174	 아직 2주도 안됫는데 벌써부터 증상들이 나타날수 있는건가요?	1
175	또 어떻게 다시 시작해야할지막막하기만 합니다ㅠ	1
176	열나는건 언제까지 일까요?	1
177	내일 또 연락오면 어떻게 하죠??	1
178	기록같은게 남나?	1
179	다시 돈 뺄수도 없고 이 놈 안오면 어쩌지?	1
180	빨간점이난거 이건 여드름흉터 아니죠?!	1
181	 정말 불안하고 떨려서 아무것도 못하겠어요	1
182	근데 정보가 많진 않으니 선뜻 지원하기가 쉽지않네요	1
183	남자친구가 가끔 동영상찍거든요..	1
184	제가 하기엔 너무 힘들까요?	1
185	4년제 대학 졸업장만으로 취직이 될까요?	1
186	너무 부담이 되네요 ;	1
187	입사해도 괜찮을까요?	1
188	신체검사 할때 혈압약 먹어도 이상없는걸까요?	1
189	군대가면 남자들은 맘 변한다고 그러는데 진짜인가요..?	1
190	이런문제 어디에 물어봐야되나요?	1
191	피부과를 가봐야 할까요?	1
192	아가가 자꾸 크면 자연분만 힘들어지나요?	1
193	이거 불법 인가요??	1
194	남자들 결혼하면 아내 몰래 바람도 피우고 그러나요	1
195	벗어날 방법이 있을런지요	1
196	곧 헤어질거라는 생각에 연애가 늘 조마조마해요	1
197	크게 다친건 아니죠...??	1
198	 다시 일시작 하면 잘할수 있을까요?	1
199	"어제가 배란일, 가임기덴, 무서워죽겟네요 ..토요일 새벽에 관계는 가졋습니다. 안심해도될까요 ?"	1
200	하루하루 불안함을 안고사네요.	1
201	등에 털이 등 중간부터 나기 시작해서 뒷통수까지 이어져있는데 이거는 어찌 해야되요..?	1
202	 남자친구가 떠날까봐요	1
203	오늘 손님들 왜케없지 ..............?	1
204	중국한테도 지면 진짜 개망신이야...	1
205	정말 인간이라구 다 같은 인간은 아닌듯	1
206	영상 복구하면 누군가는 그걸 본다는건데 내가 전여친이면 그상황이 더 끔찍할듯.	1
207	기상캐스터들 옷차림이 다 홀복 수준..	1
208	레알 남자랑도 눈을 대고는 오래동안 못있겠음 ..	1
209	나 우리집 주소 아직도 모름..	1
210	 인사도 못하겠음.	1
211	그런거 시키지 마세요..	1
212	나 같으면 노트7은 못쓴다	1
213	성기 크기가 너무 작아 고민입니다..	1
214	저 승마살이 장난 아니에요;;	1
215	쟤네들 웃기네. 맘에 드는 결과를 얻을때까지 계속 투표할 기세네.	1
216	450억....450억........뭐?? 450억??????	1
217	식칼도 없는데 왠 진검승부	1
218	교도소에서 골목 대장이 되버렸네	1
219	우리애아빠는그스위치어디다둿을까요??	1
220	난해하다......	1
221	진짜..어이없네	1
222	어이가없네..????	1
223	아들은 비싼연봉받고 뭐한거야?	1
224	차태현은 다알고 있었던것 같은데 진심은 무슨	1
225	이건또 뭔 개소리??	1
226	그럼 저 기계는 누가 만들어 줌?	1
227	어깨 툭 치는데 사과쪼개지는 소리가 나는거지?	1
228	정용기 의원이 실수로 반대방향으로들어갔군...	1
229	흥민이는 원톱가면......제발......이것만은...	1
230	배터리 바꾼게 터지는거면원인이뭐지ㅡㅡ	1
231	"물론 시즌말에 가서 떨어질꺼라 예상은 했다만,스크는 나름대로 잘 나가다가 왜 성적이 곤두박질 칠겨?"	1
232	저런 중국과 친하게 지내겠다는 더불어민주당 ㅋㅋㅋㅋㅋㅋ	1
233	헉 오마베......	1
234	본인들은 정말 충격적이겠다..ㅠㅜ	1
235	마티즈 광고인줄알았네;;	1
236	쭝궈이 대단하다 예전의 짱꼴라가 아녀	1
237	맨유동료중에 가장 저평가됐다고 생각하는 선수는 누구인가?루니 : 박지성이다.	1
238	10회 정도 해야 왕조지..... 세네번으로 무슨왕조냐	1
239	이노인네는 참	1
240	뭔소리? 기아 대권도전하려면 아직 깜깜 멀었다 ㅡㅡ	1
241	정말떳떳하다면 왜이리 OOO떨까 지발저린모습이네	1
242	받아들인 삼성은 뭐지?	1
243	여성부 예산 보다 적넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋ	1
244	대놓고싸우자는건가 ㅡㅡ;;;;	1
245	0.056은 약한거 아니냐 지금 이용찬 정찬헌 정성훈 손영민 걸린거보면 싸그리다 취소수준인데	1
246	공중파에서 시청률 잘나오려면 시도때도 없이직업 불문하고 연애질하면 됨	1
247	한 골도 못 넣은게 오로지 선수 개개인의 자질 문제인데 또 감독탓 오지네 ㅎㅎ	1
248	클라리넷은 알아도 클라라는 첨 들어봄..뭐하는거에요?	1
249	김종차관은 이름값 너무 제대로 해버렸네	1
250	순실이가 뒤봐줬는데 우리나라에서 마틴이가 못먹으면 그건 바보지	1
251	서울 대학병원전문의가 ...참 무섭군	1
252	참나.. 야메라니... 기가 막힌다..	1
253	빛은 항상 켜두어야 하는건가	1
254	역대급 거품 실력에비해 원클럽맨하나로 과대포장된 얘보다 스콜스 램파드가 훨씬 커리어가압도적인데	1
255	담배보다 안해롭고 중독성도 없단다	1
256	우리나라로 치면 허각이 당한것과 같은건가	1
257	1쿼터 8:4 프로들 농구 점수 맞냐?	1
258	아직도 장관직에 있나?	1
259	내가 언제 똥을 주워먹었나 ㅡㅡ	1
260	장애인 둘이 대화가 이어나가지나??	1
261	컨택스윙해도 김태균보단 훨씬 넘기는데;;	1
262	오성무를 죽이는 건 말도 안되는 억지.	1
263	한국의 미네소타 트윈스???	1
264	좌좀 손서키야 그게 어때서??	1
265	뭐여..박근혜 구출작전이냐?	1
266	삼적화가 기대 되는건 나뿐이냐?	1
267	작품가가8만유론데 복원금액이 수백만 유로? 배보다 배꼽이 더크네	1
268	기사 내용이 저거밖에 없어? ㅋㅋㅋㅋㅋ	1
269	누가 업뎃도 안하는데 누가 살가요?	1
270	언제 통계냈냐	1
271	깡패가 따로없네ㅋ	1
272	경기 안좋은데최고수치면 뭐지	1
273	비행기 탑승은?	1
274	나만 처음 듣는 상 이름이네. . .	1
275	보아 연기했었나????	1
276	"진에어는 정시출발율도 높고, 대표공항들 지연율도 높은데 어떻게 저럴수가 있지?"	1
277	기자님 멕시코어가 아니라 스페인어라고 하는게 맞지 않나요?	1
278	보다보다 이런 꼴은 50평생 처음이다	1
279	일반인들 신검 하면 어디아프다고 말하면 서류 때오라고 하면서 찍소리도 안하고 1급준다 ㅋㅋㅋㅋ	1
280	전술 문제야? 아니면 선수들 문제야?	1
281	얘는 또부상당한겨 ㅋ 부상안당한날이없구만	1
282	표정관리좀 해라.축제 분위기네.	1
283	차우찬 황재균은 쟤들 급은 아닌데...	1
284	중국산만 터진거처럼 얘기하네	1
285	솔직히운전이어렵냐?ㅜㅡㅜ	1
286	아니 전라도 욕하는게 왜 지역감정?	1
287	이렇게 무턱대고 시위하면서. .	1
288	별 세개 기업도 부자인데 왜 로켓 못쏴?	1
289	산천어가 살지도 않는 화천에서 산천어 축제라니...	1
290	2007년에도 음란소설이라고 벌금 받은건가?	1
291	마크제이콥스 본 땄어.	1
292	이게 진정한 양성평등이 맞는건가?	1
293	"진짜 뜬금포, .."	1
294	황당한 기획과..	1
295	완전 전데...?	1
296	올겨울 들어 가장 추운 아침을 맞고 있습니다.?	1
297	 왜 저 얘기를 우리 빼놓고 하지?	1
298	경영공백 우려한 불구속이라고??	1
299	 용도는 아닌데..	1
300	 무어라 할 말이 없네....	1
301	 국회의원이라고?	1
302	불출석했으면서 자백강요?	1
303	 비교할사람이랑 비교를 해야지;;;;	1
304	"음.. 마광수 작품은 음란패설이 담긴 책이고, 참을 수 없는 존재의 가벼움은 명작이다?"	1
305	증거는..??????????	1
306	일본 입장에서도 어이없을만하지 ㅋㅋㅋ	1
307	스마트폰 화면 왼쪽 위에 있던 올레 이거 왜 KT로 바뀜?	1
308	정부 관계자는 마치 3자인것처럼 얘기하네	1
309	연예대상이 무한도전 공로상인것처럼 말하네	1
310	 그러면 즐라탄은?	1
311	이렇게 되면... 누군가..... sbs에..... 죽을 때까지 못 나오는 거 아님? ㅋㅋ	1
312	혹은 생각처럼안될수 있는거 아닌가~	1
313	진짜 허탈하네요	1
314	 나만 그런가????	1
315	엥? 여기 네이버 뉴스맞냐?	1
316	그럼 무슨 문제 될게 있나?	1
