id	document	label
1	톡커언니들 임산부언니들 ㅠㅠ	0
2	이제 4학기가 남았는대 어떻게 해야될지라는 생각이들고 자신이 없어지내요.	0
3	집에서 용돈은 하나도 받지않고있구요..	0
4	 최후의수단이고..	0
5	마음의 준비를 해야할까요	0
6	 혹시나 말을 못알아 들으면 어떡하죠?	0
7	대학가기 전까지? 두 달정도 해볼라 하는데처음치곤 무리는 아니겠쬬???	0
8	"다 제탓이고 해서 혹시나? 좋은곳 못가고 있을까봐염려되기도 하구요,,"	0
9	그래서 휴지로 닦으니 피만 묻음.	0
10	아.. 무섭다..	0
11	아마 병원에서 정자를 다른사람것을 넣은거같아요..	0
12	면접에서?어려운 질문을 받았을때 다른 친구들처럼 잘 대답할 수 있을지 모르겠어요.	0
13	어떻게 해야되나요	0
14	편의점 알바 할때?뭐가 젤 힘든가욤?!	0
15	인서울 사립대 나와서 나름 어린나이에 부산에서는 누구나 들으면 알만한 직장다니고..	0
16	어떻게 하면될까요..	0
17	 한의원 가서 체질 개선이라도 해야 하는건가0	0
18	결혼한지 9개월인데.	0
19	다시 일상으로 돌아와야 한다는게참 무섭다.	0
20	마음을 다 주지 않는 것이 맞는 걸까요?	0
21	이러다가 진짜 맞을까바 무서워요	0
22	저 아는게 정말없어서요	0
23	솔직히 앞일은 모르는거라 갠히 불안해지고 ㅠㅠ..	0
24	한달안에 빡세게 공부하면 딸 수 있을까요???ㅜㅜ	0
25	 그리고 가끔 뜨거울때도있구 또는 샤하면서 아플때도있어요 ㅠㅡㅠ	0
26	난이도좀말씀해주세요 ㅠㅠ	0
27	 투잡 하지말까요..	0
28	통풍 유전되나요?	0
29	생산직 쪽에 취업하고난뒤에 군대다녀와서 복직가능한가요 ?	0
30	 이런 생각만 계속 나네요	0
31	 주6일만 꼬박 운동해도 효과가 있나요?	0
32	 너무 힘드네요...ㅜㅠㅠ	0
33	 미칠거 같습니다ㅠㅠ	0
34	 몸에 해로운거면 안할꺼임 ㅠㅠ	0
35	어떻게 극복해야할까요?	0
36	적성전형에 대해 잘 아시는분 계신가요?ㅠㅠ	0
37	아니면 수술비용만 그렇게 나오는건가요?	0
38	결과가 좋지않아요	0
39	 할듯말듯 예정일을 일주일넘기니 급 불안하네요..	0
40	전?20대중반 여친은 2살 어립니다..	0
41	 높으신님은 상위층과 손잡고 서민 잡아먹으며 언론통제 하시는데 여기서 이글도 삭제되려나..	0
42	건강상의 문제로 6개월인데 담당의사랑 합의봐서 제왕절개 하기로 했는데요.	0
43	어떻게 해야할까요 ?	0
44	 경쟁률은 쌔나요??	0
45	해병 많이힘드나요??	0
46	제가 공부는 하고 싶은데 어떻게 해야할지 좀 막막해요	0
47	저 어떻하면 좋을까요?	0
48	피방알바 어렵나요..???	0
49	 전과 생기나요??	0
50	  항상 오빠 건강이 걱정되네요	0
51	요즘 sink hole 위험하다...	0
52	중국원정에서 어쩔려고...	0
53	밴드브레이크는 해결됐음??	0
54	저기 옆에 건물들도 위험해보이는데요?	0
55	난 왜 울릉도보다 일본이 더 걱정 되는지ㅠㅠ	0
56	이걸 계기로 유럽연합 전체가 흔들릴수도 있음	0
57	시진핑하고 아베 김정은이 요세놈이 제일문제네.	0
58	조용호 서기석 안창호. 보수재판관들은 별로 말씀이 없으신거 같아 탄핵재판 결과가 걱정되네.	0
59	우리 나라에 아직 정식 출시 안 됐는데 해외 앱스토어에서 받거나 apk로 하는 경우 범법 행위인가요??	0
60	헤어가 왜..죠...	0
61	멋지네 근데 너무 빨라서 사람이 버틸수는있나??	0
62	추우신데 같이 온기를 나눠야 되지않을까 사료됩니다.	0
63	"지금 노트2로 댓글 다는데, 불안하다 ;;;;;"	0
64	너무 위험한 게임	0
65	만약 탄핵부결되면 어떤일이 벌어질까	0
66	믿어도 되냐? ㅋㅋㅋ	0
67	왠지.. 느낌이 안좋아..	0
68	20일21일 제주도 갈까하는데 괜찮을까요?ㅠㅠ	0
69	이제 필리핀은 관광금지구역 되겠내.	0
70	이번에도 대충 나오면 욕을 넘어 흥행에도 걸림돌될듯	0
71	지구가 심상치않다.	0
72	고등어랑 삼겹살을 법으로 금지시키려나..	0
73	좌파정권 집권하면 저리됨	0
74	폭스콘과 함께 폭막하려는 샤프 심히 우려가되네~~~~~!	0
75	8만유로짜리 복원하는데 수백만유로가 든다? 좀 이상한데..	0
76	지금 노트3 쓰면 완전 구식인가?	0
77	다른 기사에서는 팔도랑 삼양은 당분간 올릴계획없댔는데	0
78	손흥민이 걱정돼네... 군면제 못받아서 k리그 가면 완전 망할텐데	0
79	렌즈끼면 인식되긴됨?	0
80	불안해서 어디 살겠냐?	0
81	무섭게 생겼네 괴물같아	0
82	"기상청 1개월 전망은 8월 첫째 주만 무덥고 습하다고 예상하고 있던데, 일관성이 없어서 어느 걸 믿어야 할지."	0
83	이나라에 지대로 돌아가는게 있기는 한거지 .....?????	0
84	실컷 얼려놓고 나중에 해동 못하면 어쩌려고	0
85	저걸 어린애들이 보면	0
86	폭탄빼곤 눈길이 가네.....	0
87	북풍몰이로 민간선 어뢰로 침몰시키려 했다는 천일공노할 일이 사실이라면.. 소름끼친다.	0
88	자살한 여자가 생각나요?????	0
89	그냥 가만히 있으세요ㅡㅡ	0
90	epl에 비하면 돈 엄청 쓴 것 같지도 않은데 엄청나네...	0
91	은근히 무기수입 삽질하는 곳이 인도로 알고 있는데..	0
92	야채김밥 1만원인 시대가 정녕 올것인가	0
93	시호가 저거 하나 내주고 몇가지를 감추려고 그러나 ...	0
94	이러다가 영화 2012처럼 될까봐 무섭다	0
95	문제는 큰돈 받으면 느슨해져서??	0
96	삼성전자도 중국에 밀리는 날이 곧 올것갔다	0
97	특검의 전반전 말은 환영한다.끝까지 갈까?	0
98	박근혜 혹시 탄핵 안되는거 아니야옛날에 노무현때도 탄핵 안됬잖아	0
99	미세먼지나좀 어케해보지 그거타기도 전에 아작나겠다	0
100	미세먼지없다고 하는데 미세먼지 있습니다 안심하지마세요	0
101	그렇게 던지고 싶어 삼성을 떠나 한화갔더니ㅋ	0
102	갤7엣지 인대 불안...	0
103	곧 6집 나올 때가 됐는데 ...	0
104	우리 아이들의 미래가 걱정입니다.	0
105	내일도 비행기 뜨는데는 문제없어야 할텐데	0
106	불한안 올림픽이네 ㅠㅠ	0
107	돈맛을 봤구나 우리 까톡사장님이	0
108	득이 될지 실이 될지...	0
109	올해 겨울도 별로 안추웠는데 이러다가 겨울이 없어지는건 아닐지	0
110	이제 수소수급 저장이 문제	0
111	우리나라도 쿠데타로 다뒤집고 사상검증 철저히안하면 조만간 적화통일이다	0
112	전압체크하고 이상없음 안해주는거 아니죠?	0
113	한국의 운명은 어찌될것인가..	0
114	빨리 교환해도 터지면?......................	0
115	폭팔갤럭시 보다는 문제는.없겠지이	0
116	안드로이드는 그냥 문자에 전송된 링크만 클릭해도 해킹되지않나	0
117	소련 커지겠네....	0
118	이러다가 우즈벡전 선발 나오는거 아냐?	0
119	보는 눈이 썩어 투수 유원상 또는 야수 황목치승일것 같은데왠지 불안하다	0
120	두테르테 이제 이슬람 학살하겠네;	0
121	"수상한데,,,,,,"	0
122	그냥 그림만 그려준거면 한 20%이상 정도 줘야 맞는거 아님?	0
123	"청와대에 없겠지,,,,"	0
124	찬성이 제대할 때 되니까 얻어터질까봐 그러지?	0
125	설마 부결되진 않겠죠??	0
126	 지구 반대편의 미국 영국이 흔들리면 그 반대편의 나라들도 무너지는...ㅠㅠ	0
127	또 미세 먼지가 실내에서도 더 한 좋다며.	0
128	 1회부터같으댓글쓰는거 진짜 없어보인다ㅋㅋ	0
129	 산업전기도 미친듯이 싼 나라에서 의미 잇냐?	0
130	여자가 애들차별안해야할텐데. .	0
131	잘한다 특검.	0
132	 당신은 그러지 못하잖아??	0
133	 우리나라도 언제 터질지...	0
134	마지막부분은 리얼 펙트 ㅋㅋㅋㅋ	0
135	 나라생각한다면 제발 빨리결정을 내려라	0
136	 안전하게좀 해라 좀	0
137	김성근한테 영입 맡기지마라	0
138	 할머니일수도 있을텐데..ㄷㄷ	0
139	 알 길 없다.	0
140	나이어린거 찾다가 착함을 가장한 꽃뱀한테 걸릴라~~~~	0
141	코트디부아르만나면 어쩌려구?	0
142	만약에 노트7 이문제 때문에 판매 발목잡으면하반기 시장 애플이 독주할탠데 큰일이네...	0
143	 솔직히 남친이든 여친이든 애인 사이에 같이 무슨 사업한다는 사람들 치고 끝이 좋은 경우는 없드라.	0
144	 진짜 미래가 없어보이고 너무 위태로워보임.	0
145	 딱하나 불편한게 기본요금 거리 가까운 곳 갈때.	0
146	김연아의 점수에 맞추어서 끼워주려고 하는것 아닌가..그다지 안 다가올듯하다	0
147	모닝바이퓨얼 차산지1달 2천키로만에엔진경고등 및 차량 떨림으로 주행불가능3천키로에 운행중 시동꺼짐 와 환장하겠습니다.	0
148	 외국에서 실패한 사례를 무슨 최신식 행정이라고 들여오네	0
149	 군대내에서 제대로 케어가 될지..	0
150	과부제조기 날고있을때 얼마나 불안할까?	0
151	저가 잘못 알고있지는 않은지 모르겠네요	0
152	 쓸데없는 구설수는 듣더라도 맘에두지말고...	0
153	 그꼴날거같다	0
154	 매번 올라가는거보면 뭔가 불안함..	0
155	솔까 우들리도 불안하다 ㅋㅋ	0
156	우리나라는 대부분 아파트라 왠지 불가능할것 같은데..	0
157	옷가게하는데 겨울옷안팔려서 죽겠음..	0
158	내가보기엔 좀이따 파나쏘니나 쏘니꼴날듯...	0
159	음...더 머리로 경영할 수 있을까??	0
160	인생 개막막허다진짜..	0
161	이정도로 끝나서 다행이지만 앞으로가 문제 아닙니까.	0
162	Tvn 이러다 거덜나는거 아니야?	0
163	 웬지 분위기 빡쪽인데ㅋ	0
164	어뢰라도 쏜거 아니냐	0
165	 진짜 아시아쿼터로 손색없고 k리그 주전감이 확실함?	0
166	이해는 가는데 너무 우려스럽다	0
167	아니 같은 시기에 출시하는폰인데 스펙비교를 안할수가 있나?	0
168	그런거 많이 하지마라 위험하다	0
169	 외출할 때는 항상 마스크를 챙겨서 나가야 할 것 같아요.	0
170	" 단거리, 배터리 수명 이런게 과연 문제가 될런지."	0
171	 우리나란 북한 때문에 이미 불안한 상태다.	0
172	미세먼지 괜찮겠나?	0
173	건강 잘 보살펴 병원에 가는 일이 없어야지	0
174	 큰일이다~!!!	0
175	 충전할때하다 불안해서 폰끄고 배란다에서 충전함	0
176	 근데 불구하고 저거 그냥 가라앉을꺼같은 느낌은 뭐지?	0
